canonical_vendor_name,canonical_line_item_name
Amazon Business,"Disposable Gloves - These Disposable Food Prep Gloves Can Also be Used for Kitchen Cleaning, Plastic and Transparent - 100 Piece - One Size Fits Most"
Amazon Business,"Energizer AA Batteries (48Count), Double A Max Alkaline Battery - Packaging May Vary"
Amazon Business,"Eutuxia Type-S Black Tempered Glass Monitor Stand, TV, Laptop, Computer, All-in-One Desktop, Printer Riser [21.75 x 8.25 x 3.25 Inches]"
Amazon Business,"Field Notebook - 3.5""x5.5"" - Black - Dot Graph Memo Book - Pack of 5"
Amazon Business,"GE Wall Tap, 1, Extra-Wide Adapter Spaced, Easy Access Design, 3 Prong Outlet, Perfect for Travel, UL Listed, White, 58368"
Amazon Business,Google Chromecast (3rd Generation)
Amazon Business,"HERSHEY'S Halloween Chocolate Candy Variety Mix (HERSHEY'S, REESE'S, & YORK) Spooky Shapes Assortment, 43.8 oz"
Amazon Business,"Honeywell CG511A1000 Medium Inner Shelf to Prevent Tampering Thermostat Guard, White"
Amazon Business,"Igloo Insulated Party Bucket, Black/Silver, 20 Quart"
Amazon Business,"iPhone Charger, [3 Pack] Anker Powerline Lightning Cable (3ft) Apple MFi Certified - Lightning Cables for iPhone 11/11 Pro / 11 Pro Max/XS/XS Max/XR/X"
Amazon Business,"iXCC Extra Long iPhone Charger Cable, 10 Feet Lightning 8pin to USB Charge and Data Cord for iPhone SE/5/5s/6/6s/6s Plus/7/7 Plus/iPad Mini/Air/Pro [A"
Amazon Business,"JSAUX USB C to USB Adapter [2 Pack], USB-C to USB 3.0 OTG Adapter Type C Male to USB Female Adapter Compatible with MacBook Pro 2018/2017, MacBook Air"
Amazon Business,Klearlook Tablet Stand Holder
Amazon Business,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad
Amazon Business,"Logitech M525 Wireless Mouse - Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Re"
Amazon Business,"Method Foaming Hand Soap, Sea Minerals, 10 Fl. Oz (Pack of 6)"
Amazon Business,Mivoylee Black Superhero Mask
Amazon Business,Mouthwash Dispenser Mini (White) - For GotFreshBreath Alcohol-free Mouthwash
Amazon Business,Mouthwash Refill of 6 Bottles & 720 Cups - Alcohol-Free - Six 1.5 Liter Mouthwash Bottles and a Box of 720 Cups.
Amazon Business,"Mrs. Meyer's Clean Day Hand Lotion, 12 oz (Pack - 1, Basil)"
Amazon Business,Nespresso Espresso Disposable Paper Cups (100ml) - 50 Pcs
Amazon Business,New AC Adapter Fit for Dell XPS 15 9530 9550 Precision M3800 M2800 5520 DA130PM130 HA130PM130 6TTY6 0RN7NW 0V363H 332-1892 ADP-130EB BA Laptop Power S
Amazon Business,"NYHI 200-Pack 4oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Co"
Amazon Business,"NYHI 50-Pack 6oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Cof"
Amazon Business,"Office Chair, Mid Back Leather Desk Chair, Computer Swivel Office Task Chair, Ergonomic Executive Chair with Armrests"
Amazon Business,"Philonext Halloween Decorations Spider Webs Spooky Spider Webbing,1000 sqft Stretch Cobwebs with 30 Plastic Fake Spiders for Halloween Indoor Outdoor"
Amazon Business,"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens Fine Pt (.7) Dozen Box, Navy Blue; Retractable, Refillable & Premium Comfort Grip; Smooth Lines"
Amazon Business,"Post-it Tabs, 1 in. Solid, Aqua, Yellow, Pink, Red, Green, Orange, Durable, Writable, Repositionable, Sticks Securely, Removes Cleanly, 6/Color, 36/Di"
Amazon Business,Reli. SuperValue 33 Gallon Trash Bags (250 Count Bulk) Clear 30 Gallon - 33 Gallon Trash Bags / Garbage Bags - Clear Recycling Bags / Can Liners for 3
Amazon Business,"Runpower 87W USB C Power Adapter Charger for MacBook Pro 15 Inch Laptop,with USB-C to USB-C Charge Cable"
Amazon Business,"Shout Wipes - Portable Stain Treater Towelettes - (4- Pack,48 Wipes Count)"
Amazon Business,"SimpleHouseware Stackable 2 Tier Sliding Basket Organizer Drawer, Bronze"
Amazon Business,Slipstick CB680 2 Inch Floor Protecting Rubber Office Chair Caster Wheels (Set of 5) Standard Stem Size - Black/Gray
Amazon Business,SquareTrade B2B 3-Year Tablets Accidental Protection Plan ($0-99.99)
Amazon Business,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers
Amazon Business,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses
Amazon Business,"Tilting TV Wall Mount Bracket Low Profile for Most 23-55 Inch LED, LCD, OLED, Plasma Flat Screen TVs with VESA 400x400mm Weight up to 115lbs by PERLES"
Amazon Business,"Toaster 4 Slice, CUSIBOX Stainless Steel Toaster with Bagel, Defrost, Cancel Function, Extra Wide Slots, 6 Bread Shade Settings, 1650W, Black"
Amazon Business,"Torani Coconut Macaroon Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24 Count"
Amazon Business,"Torani French Vanilla Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24 Count"
Amazon Business,"Torani Salted Caramel Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24Count"
Amazon Business,"Torani Toasted Hazelnut Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24 Count"
Amazon Business,"TRENDnet USB-C HD Docking Cube, HDMI, Gigabit Port, USB Docking Station, Supports up to 3840 x 2160 at 30 Hz, TUC-DS1"
Amazon Business,VELCRO Brand Industrial Strength Fasteners | Extreme Outdoor Weather Conditions | Professional Grade Heavy Duty Strength Holds up to 15 lbs on Rough S
Amazon Business,Webcam Cover (3 Pack) Allinko 0.03 inch Ultra Thin Laptop Camera Cover Slide for Computer MacBook Pro/Air iMac iPhone Cell Phone PC Tablet Notebook Su
Amazon Business,"Whaline 120 Pack Halloween Gift Tags Trick or Treat Craft Label Tags with 130ft Cotton Rope for Halloween Party Favor, Candy Goodie Bag Art Hanging Ca"
Amazon Business,What You Do Is Who You Are: How to Create Your Business Culture
Amazon Business,"Yealink CP960 Conference IP Phone, 5-Inch Color Touch Screen. 802.11ac Wi-Fi, 802.3af PoE, Power Adapter Not Included"
AWS,Amazon CloudFront
AWS,Amazon EC2 Container Registry (ECR)
AWS,Amazon EC2 Container Service
AWS,Amazon Elastic Compute Cloud
AWS,Amazon Elasticsearch Service
AWS,Amazon Kinesis Firehose
AWS,Amazon Lightsail
AWS,Amazon Redshift
AWS,Amazon Relational Database Service
AWS,Amazon Route 53
AWS,Amazon Simple Notification Service
AWS,Amazon Simple Queue Service
AWS,Amazon Simple Storage Service
AWS,AmazonCloudWatch
AWS,AWS CloudTrail
AWS,AWS Data Transfer
AWS,AWS Database Migration Service
AWS,AWS Key Management Service
AWS,AWS Lambda
AWS,AWS Secrets Manager
AWS,AWS Support (Business)
AWS,AWS WAF
AWS,"Trustwave Managed Rules for AWS WAF - ModSecurity Virtual Patching sold by TrustWave Holdings, Inc."
Bird & Bird,Hourly Services: Amy Farrer
Bird & Bird,Hourly Services: Andrew Rink
Bird & Bird,Hourly Services: Colin Kendon
Bird & Bird,Hourly Services: PROFESSIONAL CHARGES
Bird & Bird,Hourly Services: Richard Bloomfield
Bird & Bird,Hourly Services: Shing Lo
CT Corporation,NRAI - Foreign Representation
Cameo,Charge for Gilbert Gottfried
Carta,Carta subscription
Carve Systems,Consulting - Greybox Security Assessment
Carve Systems,Sales Tax
Chubb,New Policy - BUSINESS OWNERS
Chubb,New Policy - UMBRELLA
CircleCI,Plan: Solo & Seed
ClassPass,Subscribers
ClassPass,Sales Tax 
Cleveland Scott York,UK Full Availability Trade Mark Register Search - Project Fee
Cleveland Scott York,UK Full Availability Trade Mark Register Search - External Searchers' Fees
Clyde & Co,"Hourly Services: Cooney, W."
Clyde & Co,"Hourly Services: Sidhu, V"
Clyde & Co,"Hourly Services: Wilner, J"
Clyde & Co,"Hourly Services: Yakey, C"
Columbus,ColumbusCare
Columbus,Microsoft Dynamics 365 Business Central Enhancement Plan
Conklin Office Furniture,"12"" Power bar"
Conklin Office Furniture,"13"" (12"") Aluminum Screen - 48"""
Conklin Office Furniture,"15A Receptacle Duplex Circuit 1, 3-Circ"
Conklin Office Furniture,15A Receptacle DuplexCircuit 1
Conklin Office Furniture,15A Receptacle DuplexCircuit 2
Conklin Office Furniture,15A Receptacle DuplexCircuit 3
Conklin Office Furniture,"48"" Cable Tray - TRIMMED TO 36"" OVERALL"
Conklin Office Furniture,"96"" Power Entry"
Conklin Office Furniture,Brace Leg - Back2Back
Conklin Office Furniture,Brace Leg - Double
Conklin Office Furniture,Brace Leg - Quad
Conklin Office Furniture,Brace Leg - Single
Conklin Office Furniture,Cable Floor Box
Conklin Office Furniture,Carry Up Charge
Conklin Office Furniture,"Cut above to 42"""
Conklin Office Furniture,Double Leg - Center
Conklin Office Furniture,Double Leg - End
Conklin Office Furniture,"Jumper 36"" (USED FOR 42"" TOP), 3-Circ"
Conklin Office Furniture,Leg Double End DG
Conklin Office Furniture,Power Bar Bracket
Conklin Office Furniture,"Power Entry, 72"" 3-Circ"
Conklin Office Furniture,Screen Bracket Bolt Cover
Conklin Office Furniture,Single Leg - Center
Conklin Office Furniture,Single Leg - End
Conklin Office Furniture,"Trim above cable tray to 36"" overall"
Conklin Office Furniture,Universal Screen/Modesty Bracket
Conklin Office Furniture,"Worksurface 24"" x 42"" TFL w/2"" Grommet"
Consider,Cost of Domain Name
Consider,Cost of Social Handle: LinkedIn
Consider,Domain Name Brokerage: Engagement Fee
Consider,Minimum Success Fee
CT Corporation,Obtain Doc/Certs Expedite Fees - Expedite
CT Corporation,Obtain Document - Misc - Plain copy of the annual report
CT Corporation,UPS 2nd Day Air
Custom Ink,Hanes Ultimate Heavyweight Pullover Hoodie
Custom Ink,American Apparel USA-Made Jersey T-shirt
Daversa Partners,Retainer: Head of Product
Daversa Partners,Retainer: Vice President Insurance
Daversa Partners,Retainer: Vice President Marketing
Daversa Partners,Retainer: VP Business Development
Dennis Keogh,Customer video reading off Thimble values
Devon,Holiday Party at Devon
DigiCert,Secure Site with EV - 1 year
Power Digital Marketing,Marketing Services
Fairmount Recruiting,Service: Fixed Recruitment Fee
Fairmount Recruiting,Service: Managed Hire
Fairmount Recruiting,Service: Placement Fee
Freshworks,Estate Monthly plan
Freshworks,Estate Day pass
Freshworks,Freshchat Garden Plan - Monthly
Freshworks,Freshchat Agents
GitHub,GitHub Plan
GitHub,Actions/Packages Storage
TrustedChoice.com,Conference Sponsorship
Cooper & Dunham,Expenses: TRADEMARK SEARCH SERVICE Corsearch
Cooper & Dunham,Hourly Services: LAA
Cooper & Dunham,Hourly Services: TAS
Cooper & Dunham,Hourly Services: BYH
Cooper & Dunham,Expenses: Patent & Trademark Office
CT Corporation,Annual Report-Foreign Corp
GitHub,GitHub Actions
GitHub,GitHub Packages
Good Moose,Consulting
Google Ads,Google Ads
Google,Expedited
Google,Ford V Ferrari
Google,G Suite Basic
Google,Nest Wi router (Snow) and point (Snow)
mLab,Base charge (4 GB)
mLab,Storage charge (60 GB)
Graphite Financial,Hourly Services: Projects
Graphite Financial,Hourly Services: Tasks
Graphite Financial,Unbilled Hours
Graphite Financial,Hourly Services: Accounting
Graphite Financial,Discounts / Credits Acct (e)
Graphite Financial,Hourly Services: Strategic Finance Team
Graphite Financial,Reimbursements
Graphite Financial,Hourly Services: Other
Gunderson Dettmer,Hourly Services: Legal Services And Disbursements Rendered
Gunderson Dettmer,Hourly Services: M. Richman
HomeAdvisor,2019 Marketing Placements
Hoola Hoop,Consulting Retainer
Hoola Hoop,Expense
Ian Dewsbury,Hourly Services
IN NYC IT,MS Support
IN NYC IT,QWGeneralProduct: - Configure Ubiquiti Router for new ISP settings
IN NYC IT,QWGeneralProduct: 200' CAT6 Cable and Cable Terminations
IN NYC IT,UAP-AC-PRO-US: Ubiquiti UniFi Access Point
Insurance Services Office,ISOnet-MGA(MF-21+States)
InsureTech Connect,Demo Kiosk
Iterable,SMS 25K Bundle
Iterable,Subscriber Profile Base Subscription
Iterable,Subscriber Profile Usage Subscription
Jackson Lewis,Professional Services rendered
"Jan Ira Gellis, P.C",Hourly Services: DS
JetBrains,DataGrip
Joseph W Russo,Consulting services
Joseph W Russo,Expenses
JW Michaels,Han Dang
KPMG,Non-hourly services: Professional tax consulting
KPMG,Non-hourly services:  Audit of Verifly Holdings Limited
KPMG,Expenses
LaunchSquad,Original 9 Content Project
LaunchSquad,Public Relations Project
LaunchSquad,Reimbursable Expenses
Looker,"Standard Users, Internal Use"
Looker,Jumpstart Standard
Looker,Looker Hosted Platform License for Internal BI
Maddie Shepherd,Blog Post
Maddie Shepherd,Short-form landing pages
Bee,Freelancer Monthly
Q Services New York,Furniture Assembly
Marsh & McLennan,CL Cyber Liability
Marsh & McLennan,CL Professional Liability
Marsh & McLennan,CL Crime
Matthew Buchwach & Chris Rogers,Photo Re-Touching
Matthew Buchwach & Chris Rogers,Staff photography w/ post production
Meister Seelig & Fein,DISBURSEMENTS ADVANCED
Meister Seelig & Fein,"Filing Fee, WIPO"
Meister Seelig & Fein,In-House Copying
Meister Seelig & Fein,Hourly Services: Kwok W Lee
Meister Seelig & Fein,Hourly Services: Seth H Ostrow
Meredith Wood,Advisory Service
Mess Ko,Messenger Services
Mess Ko,Square Credit Card Fees
Microsoft Azure,Backup: Azure VM and onpremises Server Protected Instances
Microsoft Azure,Backup: GRS Data Stored
Microsoft Azure,Bandwidth: Data Transfer Out Zone 1
Microsoft,Office 365 Advanced Threat Protection (Plan 1)
Microsoft,Office 365 Business Premium (Month to Month)
Microsoft,Office 365 E3
Microsoft,Office 365 Extra File Storage (Month to Month)
Miranda Eifler,Blog Post
Mongo DB,Atlas Data Transfer
Mongo DB,Atlas Developer
Mongo DB,Atlas Instances
Mongo DB,Atlas Data Storage
Mongo DB,Snapshot Backup
Nextdoor,Advertising Campaign - CPM
Open Ocean UK,Travel and other costs
Oracle,Oracle Apiary Cloud Service
Patent Trademark Bureau,Trademark 4862340 renewal 1 class included
Perr&Knight,Hourly Services: Product Design Director
Perr&Knight,Hourly Services: Product Design Senior Consultant
Perr&Knight,SNL fees
Perr&Knight,Travel Expenses
Perr&Knight,Hourly Services: Product Design Consultant
Perr&Knight,Hourly Services: Accredited Actuary
Perr&Knight,Hourly Services: Actuarial Consultant
Perr&Knight,Hourly Services: Non-Accredited Actuary
Perr&Knight,Hourly Services: Principal & Consulting Actuary
Microsoft Azure,VPN Gateway
LaunchSquad,Expense charge
Red Antler,"Consulting: Brand Development, Naming"
Red Antler,Consulting: Brand Scope Expansion
Red Antler,Consulting: Content Production
Red Antler,Consulting: Launch Campaign & Digital Development
Reed Words,Naming
Reed Words,Thimble: PL / TM + Brand Pyramid
Register.ly,Domain Renewal
Reply,Reply. 3000 contacts
Robert Walters,Placement Fee
Salt Staffing,Fee for Permanent Placement
Segment,Business Tier Subscription
Segment,Personas Advanced
Segment,Protocols
Semrush Competitive Intelligence,GURU Subscription
Simon & Schuster,The Best Team Wins
Slack,Plus plan
Slack,Fair billing credits
Smart Target Content & SEO,Article
Snowflake,Sales Tax
Snowflake,Capacity Annual Purchase
Snowflake,On Demand - Enterprise
Pingdom,Pingdom Advanced
Pingdom,Pingdom Standard
Pingdom,Pingdom Discount
Stealth Communications,1 Gbps-Shared Internet Access
STI Products,20L9001AUS: Lenovo ThinkPad T580 20L9
STI Products,20QD000BUS: Lenovo ThinkPad X1 Carbon (7th Gen) 20QD
STI Products,Acer SB220Q bi 21.5 inch Full HD
STI Products,"Anker USB C Hub Adapter, 5-in-1 USB C Adapter"
STI Products,Logitech MK270 Wireless Keyboard and Mouse Combo
STI Products,Barracuda Sentinel for Office 365 - subscription license (1 year): Billed Monthly
STI Products,MacBook Pro Charger
STI Products,Estimated Shipping and Handling
STI Products,27MU88-W: LG ELECRONICS USA : LCD Display - 16 9 UHD
STI Products,"ankerUSB: Anker USB C Hub Adapter, 5-in-1 USB C Adapter"
STI Products,CRA-1yr-PLM: Cyber Risk Aware - 1-Year Subscription
STI Products,EEPAC-Y1: ESET Endpoint Protection Advanced Cloud â€“ 1-Year Subscription License
STI Products,jabra: Jabra Speak 710 MS Wireless Bluetooth Speaker for Softphones and Mobile Phones
STIGroup,Billable Expenses
STIGroup,Billable Time - Consultant
STIGroup,Billable Time - Engineer
STIGroup,Non-Billable Time: Support T&M
STIGroup,NYDFS Cybersecurity Program Implementation & Operations
Stitch,Stitch: Standard Plan (Monthly)
Stride,Marketing Fees
Stride,Leads
Summit Facility Solutions,General Cleaning
Summit Facility Solutions,Junk Hauling
Sweet Farm Foundation,Corporate Meeting Virtual Tour
Target,"100ct 3"" x 5"" Unruled Inde..."
Target,HARIBO Gold-Bears Gum...
Target,Junior Mints Candies - 3.5oz
Target,Pop Secret Movie Theater...
Target,Reese's Pieces Peanut But...
Target,"Scotch 11.25"" x 8.75"" x 4""..."
Target,"Scotch 12"" x 60' Cushion"
Target,Scotch Heavy Duty Shippi...
Target,Skittles Original Theater B...
Target,Sour Patch Kids Soft & Ch...
Target,Sour Patch Watermelon Gu...
Target,Swedish Fish Soft & Chew...
TechNY Daily,Job Postings
Trustpilot,Enterprise Plan - Quarterly
SendGrid,Contact List Storage
SendGrid,Email Activity History - Pro 100K: 30 Days
SendGrid,Email Validation
SendGrid,Pro 100K
Pitney Bowes,Developer.PitneyBowes.com Enterprise
Power Digital Marketing,Marketing Services
Barrett Associates,Legislative Services in New York State
Barrett Associates,New York State Fee for Lobbying Registration
QuinStreet,SmallBusinessInsurance: SureHits Marketplaces - Traffic Purchased 
Reboot,Executive Coaching
Userlytics,Annual PAYG subscription Plan
Waltz Media Group,Consulting Fee
Waltz Media Group,Domain Privacy Registration Fees
Waltz Media Group,IP/Domain Acquisition Commission Fee
Waltz Media Group,IP/Domain Registrations
Webflow,Business Hosting
Westmont Associates,Non-Hourly Services: A&A
Westmont Associates,Hourly Services: LM
Westmont Associates,Hourly Services: KM
Westmont Associates,Hourly Services: CC
Westmont Associates,Hourly Services: SR
Westmont Associates,Hourly Services: KGL
Westmont Associates,Expenses: Filing Fees
Westmont Associates,Expenses: UPS Fees
Williamsburg Pizza LES,CHOCOLATE CHIP
Williamsburg Pizza LES,APPLE BACON SLICE
Williamsburg Pizza LES,CALABRESE SLICE
Williamsburg Pizza LES,BOTTLED WATER
Wilson Stevens,Book-keeping Services
Wilson Stevens,Registered Office charge
Wilson Stevens,Service address charge
Wolfsdorf Rosenthal,Legal Fees
Wolfsdorf Rosenthal,Disbursement Fees: Base filing fee to USDHS
Wolfsdorf Rosenthal,Disbursement Fees: Premium processing fee to USDHS
Wolters Kluwer,NILS State Filing Maint
Workable,Implementation - Quickstart
Workable,Referrals add-on
Workable,Requisitions
Workable,Workable Annual Plan - Platform fee
WPBakery Page Builder,WPBakery Page Builder (Regular License)
Xiamen ZhiZhi Tech,Misc. expenses
Xiamen ZhiZhi Tech,Data: Mike
Xiamen ZhiZhi Tech,iOS: Tab
Xiamen ZhiZhi Tech,API: Matthew
Xiamen ZhiZhi Tech,Web: Sam
Xiamen ZhiZhi Tech,Android: Mark
Xiamen ZhiZhi Tech,API: Gary
Xiamen ZhiZhi Tech,API: Emily
Xiamen ZhiZhi Tech,API: Olivia
Xiamen ZhiZhi Tech,API: Winnie
Xiamen ZhiZhi Tech,API: Punky
Xiamen ZhiZhi Tech,API: Brian
Xiamen ZhiZhi Tech,API: Johnny
Xiamen ZhiZhi Tech,API/Web: John
